Line;File;Data;Hora;NofClx;medianKHz;avSPL;TrDur_us;midpointICI
1;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:25:00;48;76;154;1205128;4196
2;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:25:00;8;60;32;107692;3186
3;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:25:00;14;105;69;245283;3238
4;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:25:00;9;62;69;228571;5567
5;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:25:00;26;104;357;1190476;7812
6;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:26:00;21;116;69;487804;4357
7;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:26:00;10;105;44;391304;5846
8;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;23;111;117;687500;5465
9;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;8;116;54;304347;8273
10;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;36;110;77;1093750;5332
11;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;85;96;81;474576;1033
12;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;27;117;178;333333;3130
13;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;17;105;85;250000;3128
14;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;9;110;138;163265;3925
15;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;29;115;170;756756;5171
16;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:27:00;28;75;138;675000;4867
17;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:28:00;17;103;65;470588;6063
18;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:28:00;9;103;54;186046;4618
19;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:28:00;11;103;81;217391;4439
20;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:30:00;9;78;52;140350;3570
21;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:30:00;52;104;60;1040816;3482
22;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:30:00;12;111;65;268292;4792
23;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:30:00;35;98;42;708333;3665
24;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:32:00;8;91;50;205882;5820
25;barracao 2024 04 08 FPOD_7816 file0 PART 24d 17h 27m.FP3;04/08/2024;17:32:00;16;93;48;483870;6046
